Eng,Chi
Wong Bing-wah,王炳華
Lee Chun-hau,李振孝
Lau Sik-chun,柳惜春
Fong Wah,方樺
Lee Yuen-ching,李婉菁
Yeung Mei-wah,楊美華
Lee Ching-lan,李靜蘭
Lam Hei-chu,林喜珠
葛兆昕,葛兆昕
Sunshine Lo,盧悅晴
坐在寶座上聖潔羔羊(arr. Sunshine Lo),坐在寶座上聖潔羔羊(arr. Sunshine Lo)
Carol Lin,連皓忻
Colette Lam,林穎穎
Wei-En Hsu,徐惟恩
Dai Xiaolian,戴曉蓮
Lu Xiaozi,陸笑姿
Long Xiang Cao,龍翔操
Ng Wing-mui,吳詠梅
Autumn Moon over a Placid Lake (Cantonese Music Ensemble),平湖秋月(粵樂合奏)
To Wing,杜泳
Yang Cuixi (Cantonese Music Ensemble),楊翠喜(粵樂合奏)
Yu Siu-wah,余少華
Chu Chun-keung,朱俊強
Ho Kang-ming,何耿明
The Flowing Water and the Drifting Clouds (Cantonese Music Ensemble),流水行雲(粵樂合奏)
Storming the Chamber (Chaozhou Music Ensemble),絮閣(潮樂合奏)
Lee King-chi (3/7 only),李勁持(只演三月七日)
Chan Kwok-fai (3/8 only),陳國輝(只演三月八日)
Chan Chi-chun,陳子晉
Fish Hawks Dabbling in the Water (Chaozhou Music Ensemble),寒鴉戲水(潮樂合奏)
Leung Hoi-lee,梁凱莉
The Moon on the West River (Chaozhou Music Ensemble),西江月(潮樂合奏)
Wang Qiang,王強
Puccini,浦契尼
La bohème,藝術家的生涯
黃念郇,黃念郇
盧景文,盧景文
王梓駿,王梓駿
曾淑芬,曾淑芬
李炳強,李炳強
張頌欣,張頌欣
趙曉菁,趙曉菁
陳永（2/4—11,陳永（2/4—11
梁少瑩（2/4—11,梁少瑩（2/4—11
黃華裳（2/4—11,黃華裳（2/4—11
錢深銘,錢深銘
龐頌霖,龐頌霖
曾宇軒,曾宇軒
胡顥耀,胡顥耀
戴俊彬,戴俊彬
林子幸,林子幸
Wagner,華格納
Rienzi Overture,《黎恩濟》序曲
Jari Hämäläinen,亞理．海邁萊伊寧
Amber Wagner,Amber Wagner
Cellia Costea,Cellia Costea
Tannhäuser Einzug der Gäst,《唐懷瑟》《賓客進場曲 》
Walter Fraccaro,Walter Fraccaro
Tristan und Isolde Prelude,《崔斯坦與伊索爾德》序曲
Elia Fabbian,Elia Fabbian
Matias Tosi,Matias Tosi
Liebestod,《愛之死》
Choi Sai-ho,蔡世豪
The 1960s for me,《我的六零年代》
Leung Chi-shing,梁志承
Melody Chung,鍾紫晶
Freezing Night,《寒夜．電車廠》
Tram Depo,
Leung Chi-shing,黃璿僑
Leung Chi-shing,彭康泰
Love in the Time of SARS,《非典時期的情詩》
Wong Wai Yin,黃蔚然
Mozart,莫扎特
Mitridate,《皇帝的慈悲》序曲，K.87
re di Ponto Overture,
K.87,
Jing Wang,王敬
Sinfonia Concertante in E flat,降E大調交響協奏曲，K.364
K.364,
Andrew Ling,凌顯佑
Vivaldi,韋華第
The Four Seasons,《四季》
Henning Kraggerud,克拉格活
Piazzolla,皮亞佐拉
Messiaen,梅湘
Les Offrandes Oubliées,《被遺忘的奉獻》
Alexander Shelly,謝利
Canteloube,康特盧伯
Clara Mouriz,慕妮姿
Chants d'Auvergne (selections),《奧弗涅之歌》(選段)
Beethoven,貝多芬
Egmont Overture,艾格蒙序曲
Chen Sa,陳薩
David Atherton,艾德敦
Schumann,舒曼
Hans Graf,格拉夫
Li-Wei Qin,秦立巍
Cello Concerto,大提琴協奏曲
Zhang Haochen,張昊辰
String Quartet,第一弦樂四重奏
Fan Ting,范丁
Andrew Ling,凌顯祐
Richard Bamping,鮑力卓
Johannes Wildner,懷德納
Paolo Giacometti,賈柯梅蒂
Liederkreis,聲樂套曲
Thomas Oliemans,奧利文
George Daugherty,都賀蒂
Rossini,羅西尼
Jung-Ho Pak,朴正鎬
Handel,韓德爾
Sumi Jo,曹秀美
Samson,《參孫》
Joshua MacCluer,麥浩威
Gerard Salonga,謝拉特．莎朗嘉
Lea Salonga,莉亞．莎朗嘉
Charis Chan,陳樂恩
Wesley Fung,馮哲韜
Lee Shing,李昇
Michael Macleod,麥高德
Raymond Wong,黃文顯
Jonathan Yang,楊雋
Anthony Chow,周永健
Rachel Hui,許申屠麗華
Lee Wai,李偉
Raymond Young,楊立門
Y S Liu,劉元生
Paloma So,蘇千尋
Catrina Yang,楊琳
Angela Yau,邱聖音
Shostakovich,蕭斯達高維契
Chamber Symphony,室樂交響曲(巴斯卡爾配器)
Elgar,艾爾加
In the South (Alassio),在南方(阿拉索)
Vladimir Ashkenazy,阿殊堅納西
Sol Gabetta,嘉貝蒂
Brahms,布拉姆斯
Variations on a Theme by Joseph Haydn,海頓主題變奏曲
Lang Lang,郎朗
Bach,巴赫
St Matthew Passion,馬太受難曲
Stephan Rügamer,胡格瑪
Valentina Farcas,法克絲
Jennifer Johnston,珍妮．莊思頓
Mark Adler,阿德勒
Maarten Koningsberger,克寧貝格
The Magic Flute,《魔笛》
Andrew Grams,格林斯
Garrick Ohlsson,歐爾森
Carlo Rizzi,利茲
Ravel,拉威爾
Emanuel Ax,艾斯
Daphnis et Chloe (complete ballet music),《達夫尼與克羅依》(全套芭蕾音樂)
John Adams,約翰．亞當斯
Case Scaglione,斯卡利安
Korngold,康高特
Yang Tianwa,楊天蝸
Tchaikovsky,柴可夫斯基
Romeo and Juliet Fantasy Overture,《羅密歐與茱麗葉幻想序曲》
Yu Long,余隆
Prokofiev,浦羅哥菲夫
Apollo Wong,黃日珩
Schubert,舒伯特
D.759,
Unfinished,
Jun Markl,馬卻
Johnson Li,李仲欣
Mendelssohn,孟德爾遜
Overture,序曲
Nicholas McGegan,麥克基根
Alexandra Gilbreath,吉爾布雷斯
Adam Levy,利維
Yuki Ip,葉葆菁
Bob Chilcott,Bob Chilcott
Solomon Lau,Solomon Lau
St John Passion,St John Passion
James Lo,James Lo
Phoebe Tam,Phoebe Tam
Wilcox Leung,Wilcox Leung
Yik Long Lau,Yik Long Lau
Ernest Hui,Ernest Hui
Sundae Chui,Sundae Chui
Alan Tsang,Alan Tsang
Felix Shuen,Felix Shuen
Sanders Lau,Sanders Lau
Stepping High (Guangdong Music,步步高（廣東音樂，彭修文編）
arr. Peng Xiuwen),
Tsui Ying Fai,徐英輝
Kwok Kin Ming,郭健明
Liu Xijin,劉錫津
Kathy Lam,林家琦
"""Song of the Wusuli River"" (Concerto for Two Erhus)",《烏蘇里吟》(雙二胡協奏曲)
Wong Ching Yin,黃正彥
Yeung Ka Wai,楊嘉惠
Tung Tsz Ching,董芷菁
Liu Shueh Shuan,劉學軒
Ma Wai Him,馬瑋謙
Song of the Tsou Tribe,鄒族之歌
Shiu Pui Yee,邵珮儀
Kuan Nai Chung,關迺忠
To Fung Lim,杜峰廉
"""Hua Mulan"" (Suona Concerto)",《花木蘭》(嗩吶協奏曲)
Louis Claude Daquin,Louis Spohr
Sasha Boldachev,Sasha Boldachev
Jan Van der Roost,Jan Van der Roost
Ponte Romano,Ponte Romano
Pak Wing Fai,Pak Wing Fai
Samuel R. Hazo,Samuel R. Hazo
Swan Choi,Swan Choi
Kelvin Lo,Kelvin Lo
Exultate,Exultate
D. Milhaud,D. Milhaud
Johnny Fong Hiu-kai,方曉佳
Duo Concertante,Duo Concertante
Jacqueline Li,李巧靈
Purcell,Purcell
Joshua Chan,陳錦標
Zhou Yi,周翊
Wong Lok-ting,黃樂婷
Skyland Ascended (Huqin Quartet),夢遊天姥(胡琴四重奏)
Xiang Xuan,向旋
Xu Hui,徐慧
Han Jingna,韓婧娜
Mao Qinghua,毛清華
Li Xiaoding,李曉丁
New Flight of the Bumblebee (Huqin Quartet,新野蜂飛舞(胡琴四重奏，黃學揚編曲)
Arr. by Alfred Wong),
Tung Hiu-lo,董曉露
An Yue,安悅
Lao Luo,老鑼
Li Wei,黎偉
Qi Hongwei,齊洪瑋
Ran Shao Xi Wang (Huqin Quartet),燃燒希望(胡琴四重奏)
Lee Huanzhi,李煥之
The Spring Festival Overtune,春節序曲
Cui Can,崔燦
Sui Lijun,隋利軍
An Autumn Gathering by the Campfire (Zhongruan Concerto),五音花會(中阮協奏曲)
Amy Hu,胡美儀
Yang Yidan,楊一丹
Hsin Hsiao-hung,辛小紅
孔雀東南飛(箏獨奏及箏協奏曲),孔雀東南飛(箏獨奏及箏協奏曲)
劉孝揚,劉孝揚
邱少彬,邱少彬
紀華彬,紀華彬
李孟松,李孟松
凌小玲,凌小玲
陽關三疊,陽關三疊
萬年紅(竹笛獨奏，二人台曲牌，馮子存編曲),萬年紅(竹笛獨奏，二人台曲牌，馮子存編曲)
Hu Biao,胡彪
趙松庭,趙松庭
曹星,曹星
Ma Ke,馬克
幽蘭逢春(竹笛獨奏),幽蘭逢春(竹笛獨奏)
Yang Mei Jiao,楊美嬌
簡廣易,簡廣易
Zhang Wei Liang,張維良
Chen Yue,陳悅
Zhang Jian,張健
Chen Yun Ying,陳昀穎
Yeung Wai Kit,楊偉傑
牧民新歌(竹笛獨奏),牧民新歌(竹笛獨奏)
張維良,張維良
吳朝勝,吳朝勝
林美齡,林美齡
唐健垣,唐健垣
金蛇狂舞(大合奏),金蛇狂舞(大合奏)
譚寶碩,譚寶碩
徐美婷,徐美婷
將軍令(大合奏),將軍令(大合奏)
呂培原,呂培原
Chan Pik-sum,陳璧沁
Liu Ka-yip,廖家業
Leung Wing-yin,梁永賢
Chan Sing-cheong,陳勝昌
Tse Tsz-ming,謝子明
Guo Jiaying,郭嘉瑩
Lee King-chi,李勁持
Chan Kwok-fai,陳國輝
Yu Wing-ka,余穎嘉
Wong Chung-yin,黃頌然
Wan Kai-ho,溫啟豪
Pak Tak-wan,白得雲
Johann Sebastian Bach,Johann Sebastian Bach
Chloe Lam,Chloe Lam
Ich folge dir gleichfalls (from St John Passion BWV 245),Ich folge dir gleichfalls (from St John Passion BWV 245)
Percy Tse,Percy Tse
Keith Leung,Keith Leung
Leona Cheung,Leona Cheung
Blute nur (from Matthäus-Passion BWV 244),Blute nur (from Matthäus-Passion BWV 244)
Kenix Tsang,曾麗婷
Debussy,Debussy
John Lam,林鎮輝
Il pleure dans mon coeur (Verlaine),Il pleure dans mon coeur (Verlaine)
Isaac Ng,伍俊彥
Alice Siu,蕭宛瑩
Chan Wai Bun,陳煒彬
Placet futile (Mallarmé),Placet futile (Mallarmé)
Chong Ling,莊凌
Giacomo Puccini,Giacomo Puccini
Faith Ng Wing Chi,Faith Ng Wing Chi
Carmen Lok Wan,Carmen Lok Wan
Andrew Simon,史安祖
Akane Kubota,窪田茜
Guy d'Hardelot,Guy d'Hardelot
Chen Li Ping,陳麗萍
Because,Because
David Lui,呂國璋
F.E.Weatherly & S.Adams,F.E.Weatherly & S.Adams
Yim Wan,閻韻
The Holy City,The Holy City
Nakatsu Fumitake,中津文武
Wendy Leung,梁珮珊
G. Paisiello,G. Paisiello
Mozart,莫札特
"Overture from ""The Abduction from the Seraglio""",「後宮誘逃」序曲
Choi Sown Le,蔡崇力
Clarinet Concerto in A,A大調單簧管協奏曲，作品K 622
K. 622,
Martin Choy,蔡國田
Prokofiev,蒲羅哥菲夫
Cho-Liang Lin,林昭亮
Vadim Repin,列賓
Jon Kimura Parker,柏加
Gary Hoffman,加里．霍夫曼
Joyce Yang,梁喜媛
Augustin Hadelich,赫德里希
Jian Wang,王健
Sonata for Two Violins in C,C大調雙小提琴奏鳴曲，作品 56
Brahms,Brahms
Julian Lau,劉傲書
胡小力,胡小力
Prokofiev,Prokofiev
Beethoven,Beethoven
Johnny Lau,Johnny Lau
Ryan Chan,Ryan Chan
Poulenc,Poulenc
Roger Zare,Roger Zare
Geometries (Winner of Audience Prize@ Intimacy of Creativity 2013),幾何〈創意間的親暱2013聽眾之選〉
Burt Hara,哈華
Evelyn Chang,張郁苓
Blue Danube Waltz,藍色多瑙河
Henry Shek,石信之
Leung Kin Fung,梁建楓
The Emperor Waltz,帝王圓舞曲
Kuan Nai-chung,關迺忠
Ritual for a Bumper Harvest (Orchestra),豐年祭(合奏)
Chan Wing-wah,陳永華
Ching Sau-wing,程秀榮
Koo Kar-fai,顧嘉煇
Wu Siu-hin,胡兆軒
TV Themes Suite (Orchestra),電視主題曲組曲(合奏)
Cheng Chawen,鄭佳文
Sham Kin-yu,沈健榆
Zhou Yugao,周煜國
Zeng Qiujian,曾秋堅
To the Spring Fair (Orchestra),趕街(合奏)
Yu Wing-Ka,余穎嘉
Zheng Lu,鄭路
Ng Hiu-hung,吳曉紅
Good News from Beijing to the Frontier (Orchestra),北京喜訊到邊寨(合奏)
Hu Bingxu,胡炳旭
Yu Hong,郁虹
Celebration Overture (Orchestra),慶典序曲(合奏)
Wong Sze-wing,王思穎
Akiko Suwanai,諏訪內晶子
Toby Hoffman,托比．霍夫曼
George Lomdaridze,林達僑
David Chung,鍾裕森
RV580,
Kodaly,高大宜
Duo for Violin & Cello,小提琴與大提琴二重奏，作品7
Adagio & Allegro in A flat,降A大調行板與快板，作品70
Rimsky-Korsakov,林姆斯基．高沙可夫
Victor Tam,譚子輝
Fred J Allen,弗雷德．艾倫
Nelson Wong,黃念郇
When the stars Began to Fall,下沉
Lau Chor-wah,劉楚華
Sunny Spring (Guqin Solo,陽春(古琴獨奏，《愔愔室琴譜》2000)
Yinyinshi Qinpu 2000),
Chung Siu-sun,鍾兆燊
Chan Chun-miu,陳春苖
Water Immortal (Guqin Solo,水仙操(古琴獨奏，《愔愔室琴譜》2000)
Lee Heung-sing,李向昇
Sou Si-tai,蘇思棣
Sorrow at River Xiang (Guqin Solo,湘江怨(古琴獨奏，《愔愔室琴譜》2000)
Cheung Lai-chun,張麗真
Autumn Thoughts at Lake Dongting (Guqin Solo,洞庭秋思(古琴獨奏，《大還閣琴譜》1673)
Dahuange Qinpu 1673),
Tse Chun-yan,謝俊仁
憶故人(古琴獨奏，《愔愔室琴譜》2000),憶故人(古琴獨奏，《愔愔室琴譜》2000)
Wu Yun-kan,胡潤勤
Yu Mei-lai,余美麗
龍翔操(古琴獨奏，《愔愔室琴譜》),龍翔操(古琴獨奏，《愔愔室琴譜》)
G.Gershwin,蓋希文
Rhapsody in Blue,藍色狂想曲
Kent Lee,李健斌
D.Gillingham,吉林漢姆
Alan Chu,朱偉恒
Choy Lap Tak,蔡立德
Rebecca Ng,吳美瑩
Audrey Chin,錢偉儀
Choi Suk Fan,蔡淑芬
G.Rossini,羅西尼
Aristo Sham,沈靖韜
Swell,引吭齊唱，選自神劇《所羅門》 (from oratorio Solomon)
Swell the Full Chorus (from oratorio Solomon),
Angelina Au,區雁珠
Yau Man-ching,邱文靜
Victoria,維多利亞
Chan Wan-hong,陳穩航
May Ho,何幸兒
Ave Maria,聖母頌
Wong Ka-tsun,黃嘉浚
Tallis,塔里斯
Lee Yan-pui,李殷沛
Law Hoi-yee,羅凱而
If Ye Love Me,若你愛我
You Long-lik,姚朗力
Leung Num-cho,梁念祖
Lo Tak-chun,盧德晉
Kwan Ho-ching,關浩呈
C.Camilleri,金瑞利
John Kam,甘兆棠
Four African Sketches,非洲四草圖
Butterfly Lover's Concerto,梁祝小提琴協奏曲
Sarasate,沙拉沙泰
Hsin Hsiao Ling,辛小玲
Locatelli,羅卡泰里
Introduzione Teatrale,劇場序曲，第三號
Monica Huggett,莫尼卡．休格特
Introduzione Teatrale,劇場序曲，第四號
Graham Preskett,葛士傑
Richard Harvey,李察．哈飛
Lam Tim Wai,林添偉
Lam Man Yin Anissa,林敏妍
Sonata for Arpeggione and Piano,拉弦吉他及鋼琴奏鳴曲 D.821
D.821,
Passio secundum Johannem BWV 245,聖約翰受難曲 BWV 245
Felix Shuen,孫子承
Justin Li,李家澍
Caleb Woo,胡永正
Wai-ki Wun,溫偉圻
Grace Chiang,蔣頌恩
Erica Lowe,羅允正
Ernest Hui,許家臻
Chiu Tan-ching,邱丹青
All About Love (Premiere,訴情(首演
Sierra Tse,謝倩雯
Ng Luk Wan,吳綠雲
Yearning between Lovers (Zheng Solo),長相思(古箏獨奏)
Li Ying Wai,李英煒
Yung Lok Ki,容濼淇
Liquormania (Zheng Solo accompanied by Ensemble),酒狂(古箏獨奏
Yeung Ka Leung,楊家樑
Pan Ya Sze,潘雅詩
High Mountains Flowing Water (Zheng & Sanxian Duo),高山流水(古箏
Loo Sze Wang,慮思泓
Chu Siu Wai,朱紹威
手掌心,手掌心
Angus Fu,符一中
Wong Tze Yan,黃芷茵
Yu Siu Kee,余兆麒
Hibiscus in Autumn (Zheng Solo accompanied by Ensemble & Chinese Percussion),秋芙蓉(古箏獨奏
Reinhold Glière,Reinhold Glière
Overture on Slavonic Folk Themes (Arr. by Masami Takakura),Overture on Slavonic Folk Themes (Arr. by Masami Takakura)
Scott Liu,廖少國
John L. Still,John L. Still
Dr. Lee Tian Tee,李天池
Masami Takakura,高倉正巳
Gypsy Fantasy (Twei Gitarre) (Arr. by Masami Takakura),Gypsy Fantasy (Twei Gitarre) (Arr. by Masami Takakura)
金堅先生,金堅先生
廣陵散(古箏),廣陵散(古箏)
呂金女士,呂金女士
萬幸小姐,萬幸小姐
伽倻琴散調(伽倻琴),伽倻琴散調(伽倻琴)
Zeng Chengwei,曾成偉
Zeng He,曾河
Harmony between Man and God,神人暢
迎賓曲(古箏重奏/合奏),迎賓曲(古箏重奏/合奏)
Carol Ka Po Fong,方嘉寶
民俗風韻(古箏重奏/合奏),民俗風韻(古箏重奏/合奏)
Tam Chi Shing,譚志成
Eva Ching Yee Wong,王靜怡
Phoebe Yuen Chun Wong,黄婉真
紫竹調(古箏重奏/合奏),紫竹調(古箏重奏/合奏)
Joey Shing Joe Kwok,郭承祖
Wong Kah Chun,黃佳俊
Legend of the Lunar Valentine,牛郎織女傳說
Au Wing Yee,區穎兒
Pak Wing Heng,白榮亨
Frank Ticheli,狄齊利
Colin Touchin,杜程
Shenandoah,情人渡
Ay mi Morena (arranged by Langbein),我的黑髮美人(朗彬編曲)
Jean Thorel,尚．托勞
Shchedrin,謝德林
Yago Santos,雅戈．桑托斯
Carmen Suite,卡門組曲
Rosana Romero,羅珊娜．羅梅羅
Adrián Santana,阿德里安．桑塔納
Rodrigo,羅德里果
Antonín Dvořák,德弗札克
Aimee Sung,宋艾樟
Selections from Miniatures,浪漫小品，作品75a (選段)
Karen Sung,宋可樟
Ernő Dohnányi,杜南憶
Cass Ho,何珈樺
Serenade for violin,給小提琴
viola and cello,中提琴
Juanita Wong,王翹羽青
Robert Schumann,舒曼
Hui Cheung-wai,許翔威
Elites Gathering,菁英薈萃
Shart Hong-yui Henry,薩康睿
Kuan Man-hou Johnny,關文豪
Pedersen,彼德遜
Ho Charm-yin Felix,何湛彥
Mok Chun-hin Daniel,莫雋軒
Chan Shu-ming,陳樹銘
Ho Cheuk-yin Leo,何卓彥
Choi Wai-hang Harry,蔡偉鏗
Pictures of a Woman,女人的圖畫
Britten,布列頓
Levin Chan,陳嶺暉
Six Metamorphoses after Ovid for oboe solo (給雙簧管獨奏),六首蛻變 (給雙簧管獨奏)
Kenneth Sze,薛宇曦
Poulenc,浦朗克
Stephen Chong,莊佳凱
Sonata for flute and piano,長笛奏鳴曲
Hermann Paw,包文慶
Messiaen,梅西安
Tiffany Au,歐啟詩
Abime des oiseaux,群鳥之淵
Cherry Tsang,曾捷麗
Liu Xing,劉星
Yan Huichang,閻惠昌
Clarence Mak,麥偉鑄
Tan Su-min Clara,陳素敏
Blue Sky The Heart (Guitar and Ensemble),青天心碑(結他與樂隊)
Tang Jianping,唐建平
Gong Dongjian,龔冬健
Genghis Khan (Lyrics by Agulatai,成吉思汗(阿古拉泰詞
Choral Symphony,大型交響音樂史詩
努爾買買提,努爾買買提
偉大的北京(彭修文編曲,偉大的北京(彭修文編曲
合奏),合奏)
何文川,何文川
衛承發,衛承發
將軍令(顧冠仁編曲,將軍令(顧冠仁編曲
鄭穎芬,鄭穎芬
于會詠,于會詠
胡登跳,胡登跳
李傳韻,李傳韻
闖將令(沈文友編曲,闖將令(沈文友編曲
變臉),變臉)
韋財雄,韋財雄
韋飛雄,韋飛雄
顧嘉煇,顧嘉煇
潘芳芳,潘芳芳
萬水千山總是情(鄧偉雄填詞,萬水千山總是情(鄧偉雄填詞
陳能濟編曲,陳能濟編曲
女聲獨唱),女聲獨唱)
Gu Guanren,顧冠仁
The Running Horses (2nd Movement of Spring Suite,駿馬奔馳(春天組曲第二樂章，只演28/3)
Only on 28/3),
Emily Mok Fung-yee,莫鳳儀
The Bauhinia (Gauhu Concerto,紫荊花(高胡協奏曲，只演28/3)
Luo Jing,羅晶
Sun Yongzhi,孫永志
Hua Mulan (Pipa Concerto,花木蘭(琵琶協奏曲，只演28/3)
Yu Lefu,余樂夫
Zhang Ying,張瑩
Song of the General (Ancient Melody,將軍令(古曲，顧冠仁編，只演29/3)
arr. by Gu Guanren,
Only on 29/3),
Concerto Gross in B-flat,降B大調大協奏曲，HWV325
HWV325,
Giovanni Antonini,喬凡尼．安東尼尼
Telemann,泰利曼
Merula,梅盧垃
Canzone a Quattro,四重奏短歌，《夜鶯》
Ciaccona for two violins and basso continuo,夏康舞曲
漁舟唱晚,漁舟唱晚
胡栢端,胡栢端
孫文妍,孫文妍
許菱子,許菱子
羅晶,羅晶
郁紅,郁紅
黎采薇,黎采薇
馬忠駒,馬忠駒
鄒勵娟,鄒勵娟
徐能強,徐能強
莫偉樑,莫偉樑
霓裳曲,霓裳曲
劉鷺鷺,劉鷺鷺
林明,林明
吳耀康,吳耀康
崖山哀,崖山哀
陳偉康,陳偉康
臨安遺恨,臨安遺恨
高山流水,高山流水
張筠藝,張筠藝
莫應基,莫應基
黃偉達,黃偉達
黎瑞瓊,黎瑞瓊
黃靜雯,黃靜雯
姚欣,姚欣
錢璟,錢璟
春之海,春之海
W R Driffill,捷利非爾
Hector Olivera,赫克托．奥利維拉
Toccata,觸技曲
Evening Song of a Drunken Fisherman,醉漁唱晚
Leonidas Kavakos,列奧尼達斯．卡華高斯
Enrico Pace,安利高．佩斯
Van Eyck,凡艾克
Selection from Der Fluyten Lust-hof (The Flute's Garden of Delights),《笛之樂園》選段 (The Flute's Garden of Delights)
Franco Cesarini,Franco Cesarini
Blue Horizon,Blue Horizon
Amos Lee,李家耀
Wing-Tsan Lam,林榮燦
Johan de Meij,Johan de Meij
Cloud Factory,Cloud Factory
Wing-Cheung Ma,馬穎章(馬仔)
Naohiro Iwai,Naohiro Iwai
Lee Sing-Wan,李星雲
Pak Wing-heng,白榮亨
Kwok kin-ming,郭健明
Li Sai-hong,李世康
Ng Ka-ming,吳家明
Parry,裴爾利
My Soul,我靈，那裡有一國度
There is a Country,
Li Ki-si,李其鍶
Fry,法爾拉
Let's Jam,即興玩樂
Robert Lucas de Pearsall,Robert Lucas de Pearsall
Light of My Soul,Light of My Soul
Loo Sze-wang,Loo Sze-wang
Zhu Jie,Zhu Jie
William Brooks,William Brooks
Zhu Bu Xi,Zhu Bu Xi
The Whole River Red,The Whole River Red
Strauss,Strauss
Professor Ray Wang,Professor Ray Wang
Die Fledermaus Overture,Die Fledermaus Overture
Fong Hiu-kai Johnny,方曉佳
Octet in F,F大調八重奏，D803
D803,
Chin Hing-sang,秦慶生
Paw Man-hing Hermann,包文慶
James Cuddeford,格德霍特
Le Hoai-nam,李海南
Lau Sum-yin,劉琛彥
Chang Pei-chieh,張培節
Santiago Costa Martínez,高斯達
Kate Lawson,羅琛琪
K285,
Bartók,巴托克
Chan Tsz-shun Elvis,陳子信
Contrasts,《對比》
Chen Chiu-yuan,陳秋媛
Sextet for Woodwind Quintet & Piano,鋼琴及木管六重奏
Helen Cha,查海倫
Alan Chu,朱偉恆
Marrie Rose Kim,金勞思
Stringless Zither (xiao & zheng ensemble),無弦琴(簫
Ani Choying Drolma,瓊英卓瑪
Wong Chi-ching,王梓靜
Lam Tsan-tong,林灒桐
Formless (pipa,無相(琶
ruan & zheng),阮
Zhang Fan,張帆
Visions Beyond (ruan ensemble),無極境界(阮琴合奏)
Au Yuen-ying,區婉瑩
Chanting,頌唱
Pathétique,
John Field,菲爾德
Yulianna Avdeeva,亞夫迪娃
3 Klavierstücke,三首鋼琴小品，D946
D946,
Hyeyoon Park,朴惠允
BWV1019,
Florian Uhlig,科利安．奧歷
Eugene Onegin,尤金．奧涅金
Yip Wing-sie,葉詠詩
Vocalise,練聲曲
Brian Montgomery,Brian Montgomery
Peter Lally,Peter Lally
Rachel Cheung,Rachel Cheung
Helen Cha,Helen Cha
Ken So,蘇煥勤
Claude Debussy,克洛德．德布西
Vincent Larderet,文森特．拉爾德雷
Bruyères (Book II),歐石南(選自《第二冊》)
Ludwig van Beethoven,貝多芬
Nancy Yuen,阮妙芬
Franz Schubert,舒伯特
An die Freude,歡樂頌
Alex Tam,譚天樂
Gallia (Hong Kong Premiere),加利亞(香港首演)
Prof. Gabriel Leung,梁卓偉教授
Chen Anhua,陳安華
Chen Weimin,陳蔚旻
Pining for the Secular World (Zheng Solo),思凡(箏獨奏)
Cai Xiaoxin,蔡曉新
Xu Xianglin,徐香林
